x,y,I
-1.7,2.4,0.004
-1.6,2.4,0.004
-1.5,2.4,0.004
-1.4,2.4,0.004
-1.3,2.4,0.004
-1.2,2.4,0.004
-1.1,2.4,0.004
-1.,2.4,0.005
-0.9,2.4,0.005
-0.8,2.4,0.005
-0.7,2.4,0.006
-0.6,2.4,0.006
-0.5,2.4,0.006
-0.4,2.4,0.006
-0.3,2.4,0.005
-0.2,2.4,0.005
-0.1,2.4,0.005
0,2.4,0.005
0.1,2.4,0.005
0.2,2.4,0.005
0.3,2.4,0.005
0.4,2.4,0.006
0.5,2.4,0.006
0.6,2.4,0.006
0.7,2.4,0.006
0.8,2.4,0.005
0.9,2.4,0.005
1.,2.4,0.005
1.1,2.4,0.004
1.2,2.4,0.004
1.3,2.4,0.004
1.4,2.4,0.004
1.5,2.4,0.004
1.6,2.4,0.004
1.7,2.4,0.004
1.8,2.4,0.005
1.9,2.4,0.005
2.,2.4,0.005
2.1,2.4,0.005
2.2,2.4,0.004
2.3,2.4,0.004
2.4,2.4,0.003
2.5,2.4,0.002
2.6,2.4,0.
2.7,2.4,0.
2.8,2.4,0.
2.9,2.4,0.
3.,2.4,0.
3.1,2.4,0.001
3.2,2.4,0.002
3.3,2.4,0.002
3.4,2.4,0.002
3.5,2.4,0.002
3.6,2.4,0.002
3.7,2.4,0.001
3.8,2.4,0.
3.9,2.4,0.
4.,2.4,0.

-4.,2.33,0.
-3.9,2.33,0.
-3.8,2.33,0.001
-3.7,2.33,0.002
-3.6,2.33,0.002
-3.5,2.33,0.002
-3.4,2.33,0.002
-3.3,2.33,0.002
-3.2,2.33,0.001
-3.1,2.33,0.
-3.,2.33,0.
-2.9,2.33,0.
-2.8,2.33,0.
-2.7,2.33,0.
-2.6,2.33,0.002
-2.5,2.33,0.003
-2.4,2.33,0.004
-2.3,2.33,0.004
-2.2,2.33,0.005
-2.1,2.33,0.005
-2.,2.33,0.005
-1.9,2.33,0.005
-1.8,2.33,0.004
-1.7,2.33,0.004
-1.6,2.33,0.003
-1.5,2.33,0.003
-1.4,2.33,0.003
-1.3,2.33,0.003
-1.2,2.33,0.003
-1.1,2.33,0.004
-1.,2.33,0.004
-0.9,2.33,0.005
-0.8,2.33,0.005
-0.7,2.33,0.005
-0.6,2.33,0.005
-0.5,2.33,0.004
-0.4,2.33,0.004
-0.3,2.33,0.004
-0.2,2.33,0.003
-0.1,2.33,0.003
0,2.33,0.003
0.1,2.33,0.003
0.2,2.33,0.003
0.3,2.33,0.004
0.4,2.33,0.004
0.5,2.33,0.004
0.6,2.33,0.005
0.7,2.33,0.005
0.8,2.33,0.005
0.9,2.33,0.005
1.,2.33,0.004
1.1,2.33,0.004
1.2,2.33,0.003
1.3,2.33,0.003
1.4,2.33,0.003
1.5,2.33,0.003
1.6,2.33,0.003
1.7,2.33,0.004
1.8,2.33,0.004
1.9,2.33,0.005
2.,2.33,0.005
2.1,2.33,0.005
2.2,2.33,0.005
2.3,2.33,0.004
2.4,2.33,0.004
2.5,2.33,0.003
2.6,2.33,0.002
2.7,2.33,0.
2.8,2.33,0.
2.9,2.33,0.
3.,2.33,0.
3.1,2.33,0.
3.2,2.33,0.001
3.3,2.33,0.002
3.4,2.33,0.002
3.5,2.33,0.002
3.6,2.33,0.002
3.7,2.33,0.002
3.8,2.33,0.001
3.9,2.33,0.
4.,2.33,0.

-4.,2.25,0.
-3.9,2.25,0.
-3.8,2.25,0.001
-3.7,2.25,0.002
-3.6,2.25,0.002
-3.5,2.25,0.002
-3.4,2.25,0.002
-3.3,2.25,0.002
-3.2,2.25,0.
-3.1,2.25,0.
-3.,2.25,0.
-2.9,2.25,0.
-2.8,2.25,0.
-2.7,2.25,0.001
-2.6,2.25,0.002
-2.5,2.25,0.003
-2.4,2.25,0.004
-2.3,2.25,0.005
-2.2,2.25,0.005
-2.1,2.25,0.005
-2.,2.25,0.005
-1.9,2.25,0.004
-1.8,2.25,0.004
-1.7,2.25,0.003
-1.6,2.25,0.003
-1.5,2.25,0.002
-1.4,2.25,0.002
-1.3,2.25,0.003
-1.2,2.25,0.003
-1.1,2.25,0.004
-1.,2.25,0.004
-0.9,2.25,0.004
-0.8,2.25,0.004
-0.7,2.25,0.004
-0.6,2.25,0.004
-0.5,2.25,0.003
-0.4,2.25,0.002
-0.3,2.25,0.002
-0.2,2.25,0.002
-0.1,2.25,0.001
0,2.25,0.001
0.1,2.25,0.001
0.2,2.25,0.002
0.3,2.25,0.002
0.4,2.25,0.002
0.5,2.25,0.003
0.6,2.25,0.004
0.7,2.25,0.004
0.8,2.25,0.004
0.9,2.25,0.004
1.,2.25,0.004
1.1,2.25,0.004
1.2,2.25,0.003
1.3,2.25,0.003
1.4,2.25,0.002
1.5,2.25,0.002
1.6,2.25,0.003
1.7,2.25,0.003
1.8,2.25,0.004
1.9,2.25,0.004
2.,2.25,0.005
2.1,2.25,0.005
2.2,2.25,0.005
2.3,2.25,0.005
